rob
255,255,255
255,247,247
255,240,240
255,233,233
255,226,226
255,219,219
255,212,212
255,205,205
255,198,198
255,191,191
255,184,184
255,177,177
255,170,170
255,162,162
255,155,155
255,148,148
255,141,141
255,134,134
255,127,127
255,120,120
255,113,113
255,106,106
255,99,99
255,92,92
255,85,85
255,77,77
255,70,70
255,63,63
255,56,56
255,49,49
255,42,42
255,35,35
255,28,28
255,21,21
255,14,14
255,7,7
2,8,69
9,14,74
16,21,79
23,28,84
30,35,89
37,42,94
44,49,100
51,56,105
58,62,110
65,69,115
72,76,120
79,83,125
86,90,131
93,97,136
100,104,141
107,110,146
114,117,151
121,124,156
128,131,162
135,138,167
142,145,172
149,152,177
156,158,182
163,165,187
170,172,193
177,179,198
184,186,203
191,193,208
198,200,213
205,206,218
212,213,224
219,220,229
226,227,234
233,234,239
240,241,244
247,248,249
2,8,69
9,14,74
16,21,79
23,28,84
30,35,89
37,42,94
44,49,100
51,56,105
58,62,110
65,69,115
72,76,120
79,83,125
86,90,131
93,97,136
100,104,141
107,110,146
114,117,151
121,124,156
128,131,162
135,138,167
142,145,172
149,152,177
156,158,182
163,165,187
170,172,193
177,179,198
184,186,203
191,193,208
198,200,213
205,206,218
212,213,224
219,220,229
226,227,234
233,234,239
240,241,244
247,248,249
